Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,80.969,-115.052,-90.0,top
C2,10u,C_0402_1005Metric,73.037,-110.988,180.0,top
C3,100n,C_0402_1005Metric,72.46,-91.557,90.0,top
C4,100n,C_0402_1005Metric,79.29,-92.192,0.0,top
C5,100n,C_0402_1005Metric,80.715,-93.462,180.0,top
C6,100n,C_0402_1005Metric,69.539,-93.335,0.0,top
C7,100n,C_0402_1005Metric,74.873,-108.067,-90.0,top
C8,100n,C_0402_1005Metric,68.904,-105.019,-90.0,top
C9,100n,C_0402_1005Metric,73.037,-109.718,180.0,top
C10,20p,C_0402_1005Metric,79.572,-90.541,90.0,top
C11,20p,C_0402_1005Metric,73.603,-90.541,-90.0,top
C12,2.2u,C_0402_1005Metric,70.047,-108.067,90.0,top
C13,2.2u,C_0402_1005Metric,72.587,-108.067,-90.0,top
D1,LED,LED_0402_1005Metric,78.83675,-86.35,-90.0,top
D2,1N4148WS,D_SOD-323,76.143,-85.715,-90.0,top
J1,SWD,PinHeader_1x02_P2.54mm_Vertical,71.703,-113.528,90.0,top
R1,100,R_0402_1005Metric,81.096,-86.352,90.0,top
R2,6.2k,R_0402_1005Metric,81.096,-82.284,-90.0,top
R3,1.2k,R_0402_1005Metric,78.81,-82.284,-90.0,top
R4,100,R_0402_1005Metric,69.539,-91.938,180.0,top
R5,510R,R_0402_1005Metric,77.7205,-86.35,90.0,top
R6,10k,R_0402_1005Metric,79.953,-86.35,-90.0,top
R7,470,R_0402_1005Metric,76.524,-82.284,-90.0,top
R8,1k,R_0402_1005Metric,74.238,-82.286,90.0,top
R9,470,R_0402_1005Metric,71.952,-82.286,90.0,top
R10,2k,R_0402_1005Metric,69.666,-82.286,90.0,top
RN1,100R,R_Array_Concave_4x0402,79.445,-107.559,0.0,top
RN2,100R,R_Array_Concave_4x0402,79.445,-110.492,0.0,top
U1,AMS1117-3.3,SOT-89-3,77.667,-115.433,180.0,top
U2,C64-SID-Socket-hackup,DIP-28_W15.24mm,75.0,-99.5,0.0,top
U3,GD32F405RGT6,LQFP-64_10x10mm_P0.5mm,75.0,-99.5,-90.0,top
U4,LM321,SOT-23-5,70.936,-87.239,0.0,top
Y1,8MHz,Crystal_SMD_3225-2Pin_3.2x2.5mm,76.5875,-89.779,180.0,top
